Round,CommitType,runTime,throughput,msg/s,NrTransactions,NrBackupSites,NrParticipants,timeoutBackupSiteThreshold,timeoutBlockingThreshold,voteAbortProbability,latencyLong,latencyBackup,timeToWriteLog,timeToWritePersistent
numparticipants test 3-8-13-18
0,2PC,51916 milliseconds,91,1,100,6,3,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
1,2PC,51350 milliseconds,89,1,100,6,3,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
2,2PC,51844 milliseconds,93,1,100,6,3,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
0,2PC,99400 milliseconds,73,0,100,6,8,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
1,2PC,99353 milliseconds,65,0,100,6,8,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
2,2PC,98634 milliseconds,66,0,100,6,8,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
0,2PC,146781 milliseconds,61,0,100,6,13,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
1,2PC,146271 milliseconds,56,0,100,6,13,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
2,2PC,145627 milliseconds,53,0,100,6,13,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
0,2PC,193366 milliseconds,39,0,100,6,18,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
1,2PC,191741 milliseconds,34,0,100,6,18,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
2,2PC,192783 milliseconds,42,0,100,6,18,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
0,BC,61549 milliseconds,91,1,100,6,3,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
1,BC,69418 milliseconds,85,1,100,6,3,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
2,BC,135331 milliseconds,29,0,100,6,3,10000 milliseconds,10000 milliseconds,0.05,100,1,20,20
