All requests at once,,,,
Number of requests,Min (ms),Average (ms),Max (ms),Failed (%)
100,39.7,206.1,267,0
200,57,343,466.1,0
500,119.5,725.3,962.2,0
1000,98,1139.7,1767.8,0
1500,148.6,1573.3,2603.9,1.72
2000,204.6,2032.3,3319.4,1.455
3000,195.3,2909.3,4817.3,1.51
5000,385.6666667,3703.555556,6596.7,33.77
Constant stream of requests,,,,
Requests/sec,Min (ms),Average (ms),Max (ms),Failed (%)
100,11.3,19.6,90.4,0
200,10.6,17,152.8,0
300,9.6,20.3,307.4,0
500,11.3,140.6,1269.3,0
750,16.8,2617.3,9114.9,19.58
1000,10.7,2974.1,9980.6,44.761
1500,31.6,4299.9,12204.4,63.77533333
