time (since java epoch),time since start (ms),machine name,load (0 to 1)
1555026799822,-133425,Manager centralmanager-vm1,0.04342510279748316
1555026800809,-132438,Manager centralmanager-vm1,0.05
1555026801809,-131438,Manager centralmanager-vm1,0.02040816326530612
1555026802809,-130438,Manager centralmanager-vm1,0.23529411764705882
1555026803809,-129438,Manager centralmanager-vm1,0.04
1555026804809,-128438,Manager centralmanager-vm1,0.030303030303030304
1555026805809,-127438,Manager centralmanager-vm1,0.0594059405940594
1555026806809,-126438,Manager centralmanager-vm1,0.06796116504854369
1555026807819,-125428,Manager centralmanager-vm1,0.2
1555026808809,-124438,Manager centralmanager-vm1,0.1326530612244898
1555026809819,-123428,Manager centralmanager-vm1,0.0594059405940594
1555026810819,-122428,Manager centralmanager-vm1,0.0693069306930693
1555026811809,-121438,Manager centralmanager-vm1,0.06999999999999999
1555026812809,-120438,Manager centralmanager-vm1,0.0707070707070707
1555026813819,-119428,Manager centralmanager-vm1,0.0784313725490196
1555026814819,-118428,Manager centralmanager-vm1,0.0707070707070707
1555026815809,-117438,Manager centralmanager-vm1,0.061224489795918366
1555026816819,-116428,Manager centralmanager-vm1,0.0891089108910891
1555026817819,-115428,Manager centralmanager-vm1,0.06999999999999999
1555026818819,-114428,Manager centralmanager-vm1,0.10891089108910891
1555026819808,-113439,Manager centralmanager-vm1,0.0808080808080808
1555026820819,-112428,Manager centralmanager-vm1,0.06060606060606061
1555026821819,-111428,Manager centralmanager-vm1,0.10416666666666667
1555026822809,-110438,Manager centralmanager-vm1,0.09
1555026823809,-109438,Manager centralmanager-vm1,0.0510204081632653
1555026824819,-108428,Manager centralmanager-vm1,0.07
1555026825809,-107438,Manager centralmanager-vm1,0.07142857142857142
1555026826819,-106428,Manager centralmanager-vm1,0.07
1555026827819,-105428,Manager centralmanager-vm1,0.07
1555026828809,-104438,Manager centralmanager-vm1,0.05208333333333333
1555026829819,-103428,Manager centralmanager-vm1,0.0784313725490196
1555026830819,-102428,Manager centralmanager-vm1,0.05154639175257732
1555026831819,-101428,Manager centralmanager-vm1,0.06060606060606061
1555026832819,-100428,Manager centralmanager-vm1,0.05102040816326531
1555026833819,-99428,Manager centralmanager-vm1,0.08163265306122448
1555026834809,-98438,Manager centralmanager-vm1,0.07070707070707072
1555026835818,-97429,Manager centralmanager-vm1,0.06060606060606061
1555026836819,-96428,Manager centralmanager-vm1,0.06999999999999999
