time (since java epoch),submitter name,uuid,runtime(jar),total runtime(start shadow to receive result)
1555026936557,Workstation_2,00000000-0000-0000-0000-000000000003,2244,2373
1555026937963,Workstation_2,00000000-0000-0000-0000-000000000002,3795,3823
1555026938024,Workstation_2,00000000-0000-0000-0000-000000000001,3762,3934
1555026938841,Workstation_2,00000000-0000-0000-0000-000000000294,1852,1872
1555026940480,Workstation_2,00000000-0000-0000-0000-000000000306,1611,1629
1555026940531,Workstation_2,00000000-0000-0000-0000-000000000000,4468,6463
1555026940878,Workstation_2,00000000-0000-0000-0000-0000000000be,1963,3922
1555026942154,Workstation_2,00000000-0000-0000-0000-000000000075,4093,4112
1555026943262,Workstation_2,00000000-0000-0000-0000-00000000012e,5265,5266
1555026944572,Workstation_2,00000000-0000-0000-0000-00000000030c,4072,4086
1555026944601,Workstation_2,00000000-0000-0000-0000-0000000001bd,2429,2443
1555026948138,Workstation_2,00000000-0000-0000-0000-000000000020,4838,4864
1555026948613,Workstation_2,00000000-0000-0000-0000-000000000014,3990,4007
1555026949049,Workstation_2,00000000-0000-0000-0000-00000000025d,4451,4466
1555026950203,Workstation_2,00000000-0000-0000-0000-00000000031d,1133,1146
1555026951945,Workstation_2,00000000-0000-0000-0000-00000000031f,3797,3798
1555026952045,Workstation_2,00000000-0000-0000-0000-00000000031e,3401,3420
1555026953747,Workstation_2,00000000-0000-0000-0000-00000000031c,3440,3539
1555026954852,Workstation_2,00000000-0000-0000-0000-000000000319,1083,1097
1555026955586,Workstation_2,00000000-0000-0000-0000-00000000031b,3631,3633
1555026955616,Workstation_2,00000000-0000-0000-0000-00000000031a,3551,3562
1555026958660,Workstation_2,00000000-0000-0000-0000-000000000317,3048,3050
1555026959172,Workstation_2,00000000-0000-0000-0000-000000000318,4302,4314
1555026960281,Workstation_2,00000000-0000-0000-0000-000000000314,1091,1104
1555026960405,Workstation_2,00000000-0000-0000-0000-000000000315,1734,1735
1555026960649,Workstation_2,00000000-0000-0000-0000-000000000316,4998,5011
1555026963232,Workstation_2,00000000-0000-0000-0000-000000000311,2559,2575
1555026964851,Workstation_2,00000000-0000-0000-0000-000000000313,4553,4564
1555026965180,Workstation_2,00000000-0000-0000-0000-000000000312,4764,4765
1555026965829,Workstation_2,00000000-0000-0000-0000-000000000310,2566,2591
1555026967457,Workstation_2,00000000-0000-0000-0000-00000000030e,2265,2267
1555026967583,Workstation_2,00000000-0000-0000-0000-00000000030f,2710,2728
1555026969014,Workstation_2,00000000-0000-0000-0000-00000000030d,3165,3179
1555026971258,Workstation_2,00000000-0000-0000-0000-000000000309,2226,2238
1555026971406,Workstation_2,00000000-0000-0000-0000-00000000030b,3937,3939
1555026972373,Workstation_2,00000000-0000-0000-0000-00000000030a,4769,4778
1555026975543,Workstation_2,00000000-0000-0000-0000-000000000307,4130,4131
1555026975558,Workstation_2,00000000-0000-0000-0000-000000000308,4277,4292
1555026976568,Workstation_2,00000000-0000-0000-0000-000000000305,4174,4189
1555026977556,Workstation_2,00000000-0000-0000-0000-000000000304,2001,2003
1555026978801,Workstation_2,00000000-0000-0000-0000-000000000302,2212,2226
1555026979314,Workstation_2,00000000-0000-0000-0000-000000000303,3734,3753
1555026981093,Workstation_2,00000000-0000-0000-0000-000000000301,3525,3526
1555026981582,Workstation_2,00000000-0000-0000-0000-000000000300,2762,2773
1555026983301,Workstation_2,00000000-0000-0000-0000-0000000002ff,3959,3974
1555026984863,Workstation_2,00000000-0000-0000-0000-0000000002fd,3261,3276
1555026984927,Workstation_2,00000000-0000-0000-0000-0000000002fc,1599,1610
1555026985697,Workstation_2,00000000-0000-0000-0000-0000000002fe,4594,4595
1555026986517,Workstation_2,00000000-0000-0000-0000-0000000002fb,1633,1646
1555026988708,Workstation_2,00000000-0000-0000-0000-0000000002f9,3002,3003
1555026988799,Workstation_2,00000000-0000-0000-0000-0000000002fa,3848,3866
1555026991064,Workstation_2,00000000-0000-0000-0000-0000000002f8,4523,4535
1555026991141,Workstation_2,00000000-0000-0000-0000-0000000002f6,2314,2334
1555026992634,Workstation_2,00000000-0000-0000-0000-0000000002f7,3915,3917
1555026995745,Workstation_2,00000000-0000-0000-0000-0000000002f5,4662,4676
1555026996115,Workstation_2,00000000-0000-0000-0000-0000000002f4,4953,4967
1555026997552,Workstation_2,00000000-0000-0000-0000-0000000002f3,4907,4911
1555026999336,Workstation_2,00000000-0000-0000-0000-0000000002f2,3574,3585
1555027001083,Workstation_2,00000000-0000-0000-0000-0000000002f1,4949,4963
1555027001822,Workstation_2,00000000-0000-0000-0000-0000000002f0,4261,4262
1555027003930,Workstation_2,00000000-0000-0000-0000-0000000002ef,4580,4590
1555027004664,Workstation_2,00000000-0000-0000-0000-0000000002ed,2828,2828
1555027005122,Workstation_2,00000000-0000-0000-0000-0000000002ee,4019,4030
1555027005812,Workstation_2,00000000-0000-0000-0000-0000000002eb,1139,1140
1555027007969,Workstation_2,00000000-0000-0000-0000-0000000002ec,4018,4035
1555027008580,Workstation_2,00000000-0000-0000-0000-0000000002ea,3433,3452
1555027008680,Workstation_2,00000000-0000-0000-0000-0000000002e9,2858,2860
1555027010109,Workstation_2,00000000-0000-0000-0000-0000000002e6,1419,1420
1555027011743,Workstation_2,00000000-0000-0000-0000-0000000002e7,3146,3158
1555027012487,Workstation_2,00000000-0000-0000-0000-0000000002e8,4502,4512
1555027013104,Workstation_2,00000000-0000-0000-0000-0000000002e4,1343,1355
1555027013536,Workstation_2,00000000-0000-0000-0000-0000000002e5,3419,3421
1555027013629,Workstation_2,00000000-0000-0000-0000-0000000002e3,1122,1137
1555027014803,Workstation_2,00000000-0000-0000-0000-0000000002e1,1260,1261
1555027015430,Workstation_2,00000000-0000-0000-0000-0000000002e0,1788,1797
1555027016601,Workstation_2,00000000-0000-0000-0000-0000000002de,1142,1160
1555027017857,Workstation_2,00000000-0000-0000-0000-0000000002df,3045,3047
1555027018029,Workstation_2,00000000-0000-0000-0000-0000000002e2,4909,4921
1555027020743,Workstation_2,00000000-0000-0000-0000-0000000002db,2696,2707
1555027020856,Workstation_2,00000000-0000-0000-0000-0000000002dd,4242,4251
1555027022469,Workstation_2,00000000-0000-0000-0000-0000000002dc,4604,4606
1555027024435,Workstation_2,00000000-0000-0000-0000-0000000002d8,1957,1959
1555027024528,Workstation_2,00000000-0000-0000-0000-0000000002d9,3654,3663
1555027024555,Workstation_2,00000000-0000-0000-0000-0000000002da,3795,3805
1555027026706,Workstation_2,00000000-0000-0000-0000-0000000002d5,2135,2145
1555027028079,Workstation_2,00000000-0000-0000-0000-0000000002d6,3538,3547
1555027028161,Workstation_2,00000000-0000-0000-0000-0000000002d7,3718,3719
1555027030288,Workstation_2,00000000-0000-0000-0000-0000000002d2,2117,2119
1555027031235,Workstation_2,00000000-0000-0000-0000-0000000002d4,4514,4523
1555027031566,Workstation_2,00000000-0000-0000-0000-0000000002d3,3473,3482
1555027032378,Workstation_2,00000000-0000-0000-0000-0000000002d0,1125,1137
1555027033544,Workstation_2,00000000-0000-0000-0000-0000000002d1,3245,3249
1555027034652,Workstation_2,00000000-0000-0000-0000-0000000002ce,2254,2267
1555027034873,Workstation_2,00000000-0000-0000-0000-0000000002cd,1320,1323
1555027035937,Workstation_2,00000000-0000-0000-0000-0000000002cc,1271,1280
1555027036597,Workstation_2,00000000-0000-0000-0000-0000000002cf,5018,5028
1555027037711,Workstation_2,00000000-0000-0000-0000-0000000002cb,2828,2830
1555027038419,Workstation_2,00000000-0000-0000-0000-0000000002c9,1807,1818
1555027039493,Workstation_2,00000000-0000-0000-0000-0000000002ca,3543,3552
1555027040477,Workstation_2,00000000-0000-0000-0000-0000000002c7,2048,2056
1555027040621,Workstation_2,00000000-0000-0000-0000-0000000002c8,2901,2902
1555027040983,Workstation_2,00000000-0000-0000-0000-0000000002c6,1472,1486
1555027042617,Workstation_2,00000000-0000-0000-0000-0000000002c5,2124,2136
1555027043161,Workstation_2,00000000-0000-0000-0000-0000000002c3,2162,2174
1555027044208,Workstation_2,00000000-0000-0000-0000-0000000002c4,3576,3581
1555027044829,Workstation_2,00000000-0000-0000-0000-0000000002c2,2195,2206
1555027045951,Workstation_2,00000000-0000-0000-0000-0000000002bf,1101,1112
1555027046929,Workstation_2,00000000-0000-0000-0000-0000000002c0,2711,2714
1555027047177,Workstation_2,00000000-0000-0000-0000-0000000002c1,3999,4010
1555027047280,Workstation_2,00000000-0000-0000-0000-0000000002be,1309,1320
1555027048983,Workstation_2,00000000-0000-0000-0000-0000000002bd,2041,2043
1555027051679,Workstation_2,00000000-0000-0000-0000-0000000002bb,4387,4394
1555027052097,Workstation_2,00000000-0000-0000-0000-0000000002bc,4903,4915
1555027053328,Workstation_2,00000000-0000-0000-0000-0000000002b8,1215,1224
1555027053462,Workstation_2,00000000-0000-0000-0000-0000000002ba,4471,4473
1555027054459,Workstation_2,00000000-0000-0000-0000-0000000002b9,2766,2776
1555027054656,Workstation_2,00000000-0000-0000-0000-0000000002b6,1185,1187
1555027055522,Workstation_2,00000000-0000-0000-0000-0000000002b7,2175,2190
1555027056013,Workstation_2,00000000-0000-0000-0000-0000000002b5,1540,1551
1555027056869,Workstation_2,00000000-0000-0000-0000-0000000002b3,1331,1343
1555027058382,Workstation_2,00000000-0000-0000-0000-0000000002b4,3719,3720
1555027060537,Workstation_2,00000000-0000-0000-0000-0000000002b2,4507,4521
1555027061485,Workstation_2,00000000-0000-0000-0000-0000000002b1,4601,4612
1555027061942,Workstation_2,00000000-0000-0000-0000-0000000002b0,3552,3554
1555027062354,Workstation_2,00000000-0000-0000-0000-0000000002af,1804,1815
1555027062851,Workstation_2,00000000-0000-0000-0000-0000000002ae,1353,1362
