time (since java epoch),machine name,load (0 to 1)
1555029369509,553,Manager centralmanager-vm5,0.041237113402061855
1555029370499,1543,Manager centralmanager-vm5,0.05319148936170213
1555029371509,2553,Manager centralmanager-vm5,0.06060606060606061
1555029372499,3543,Manager centralmanager-vm5,0.041666666666666664
1555029373500,4544,Manager centralmanager-vm5,0.042105263157894736
1555029374509,5553,Manager centralmanager-vm5,0.05050505050505051
1555029375499,6543,Manager centralmanager-vm5,0.08333333333333334
1555029376509,7553,Manager centralmanager-vm5,0.030927835051546393
1555029377499,8543,Manager centralmanager-vm5,0.4270833333333333
1555029378509,9553,Manager centralmanager-vm5,0.6804123711340206
1555029379509,10553,Manager centralmanager-vm5,0.4791666666666667
1555029380500,11544,Manager centralmanager-vm5,0.14444444444444443
1555029381500,12544,Manager centralmanager-vm5,0.05494505494505495
1555029382499,13543,Manager centralmanager-vm5,0.022222222222222223
1555029383500,14544,Manager centralmanager-vm5,0.03296703296703297
1555029384500,15544,Manager centralmanager-vm5,0.09574468085106383
1555029385513,16557,Manager centralmanager-vm5,0.05319148936170213
1555029386500,17544,Manager centralmanager-vm5,0.07608695652173914
1555029387499,18543,Manager centralmanager-vm5,0.09375
1555029388500,19544,Manager centralmanager-vm5,0.041237113402061855
1555029389500,20544,Manager centralmanager-vm5,0.0510204081632653
1555029390510,21554,Manager centralmanager-vm5,0.030303030303030304
1555029391499,22543,Manager centralmanager-vm5,0.061855670103092786
1555029392499,23543,Manager centralmanager-vm5,0.04081632653061224
1555029393499,24543,Manager centralmanager-vm5,0.020618556701030927
1555029394499,25543,Manager centralmanager-vm5,0.03125
1555029395499,26543,Manager centralmanager-vm5,0.020618556701030927
1555029396499,27543,Manager centralmanager-vm5,0.030927835051546393
1555029397499,28543,Manager centralmanager-vm5,0.04081632653061224
1555029398499,29543,Manager centralmanager-vm5,0.041666666666666664
1555029399499,30543,Manager centralmanager-vm5,0.04081632653061224
1555029400500,31544,Manager centralmanager-vm5,0.04081632653061224
1555029401499,32543,Manager centralmanager-vm5,0.021052631578947368
1555029402499,33543,Manager centralmanager-vm5,0.0707070707070707
1555029403500,34544,Manager centralmanager-vm5,0.030927835051546393
1555029404499,35543,Manager centralmanager-vm5,0.2142857142857143
1555029405500,36544,Manager centralmanager-vm5,0.05154639175257732
1555029406509,37553,Manager centralmanager-vm5,0.061224489795918366
1555029407510,38554,Manager centralmanager-vm5,0.0510204081632653
1555029408499,39543,Manager centralmanager-vm5,0.06060606060606061
1555029409499,40543,Manager centralmanager-vm5,0.010638297872340425
1555029410499,41543,Manager centralmanager-vm5,0.041237113402061855
1555029411499,42543,Manager centralmanager-vm5,0.04081632653061224
1555029412499,43543,Manager centralmanager-vm5,0.326530612244898
1555029413500,44544,Manager centralmanager-vm5,0.041237113402061855
1555029414499,45543,Manager centralmanager-vm5,0.041237113402061855
1555029415499,46543,Manager centralmanager-vm5,0.05154639175257732
1555029416499,47543,Manager centralmanager-vm5,0.030927835051546393
1555029417502,48546,Manager centralmanager-vm5,0.030927835051546393
1555029418500,49544,Manager centralmanager-vm5,0.04081632653061224
1555029419500,50544,Manager centralmanager-vm5,0.041237113402061855
1555029420500,51544,Manager centralmanager-vm5,0.020833333333333332
1555029421499,52543,Manager centralmanager-vm5,0.05154639175257732
1555029422499,53543,Manager centralmanager-vm5,0.09473684210526316
1555029423499,54543,Manager centralmanager-vm5,0.05154639175257732
1555029424499,55543,Manager centralmanager-vm5,0.08247422680412371
1555029425500,56544,Manager centralmanager-vm5,0.3775510204081633
1555029426510,57554,Manager centralmanager-vm5,0.12871287128712872
1555029427499,58543,Manager centralmanager-vm5,0.031578947368421054
1555029428500,59544,Manager centralmanager-vm5,0.15151515151515152
1555029429499,60543,Manager centralmanager-vm5,0.030927835051546393
1555029430499,61543,Manager centralmanager-vm5,0.030612244897959183
1555029431500,62544,Manager centralmanager-vm5,0.030927835051546393
1555029432500,63544,Manager centralmanager-vm5,0.020618556701030927
