time (since java epoch),submitter name,uuid,runtime(jar),total runtime(start shadow to receive result)
1555029371865,Workstation_2,00000000-0000-0000-0000-000000000000,2078,2249
1555029373276,Workstation_2,00000000-0000-0000-0000-000000000001,3355,3464
1555029373470,Workstation_2,00000000-0000-0000-0000-000000000003,3516,3525
1555029374385,Workstation_2,00000000-0000-0000-0000-000000000002,2549,4517
1555029374951,Workstation_2,00000000-0000-0000-0000-0000000000c7,3062,3097
1555029376036,Workstation_2,00000000-0000-0000-0000-000000000057,2741,2766
1555029377110,Workstation_2,00000000-0000-0000-0000-000000000055,3444,4617
1555029377618,Workstation_2,00000000-0000-0000-0000-0000000000c4,1505,2131
1555029377745,Workstation_2,00000000-0000-0000-0000-00000000002b,4251,4252
1555029379100,Workstation_2,00000000-0000-0000-0000-0000000000c5,4276,5428
1555029379538,Workstation_2,00000000-0000-0000-0000-0000000000c3,3480,3495
1555029379670,Workstation_2,00000000-0000-0000-0000-0000000000c6,4699,4712
1555029380010,Workstation_2,00000000-0000-0000-0000-0000000000c0,2249,2251
1555029381666,Workstation_2,00000000-0000-0000-0000-0000000000c1,3023,4185
1555029382538,Workstation_2,00000000-0000-0000-0000-0000000000bc,2490,2852
1555029382644,Workstation_2,00000000-0000-0000-0000-0000000000bf,3082,3097
1555029382761,Workstation_2,00000000-0000-0000-0000-0000000000c2,4712,5076
1555029383034,Workstation_2,00000000-0000-0000-0000-0000000000be,3003,3005
1555029384149,Workstation_2,00000000-0000-0000-0000-0000000000bd,4456,4474
1555029385234,Workstation_2,00000000-0000-0000-0000-0000000000bb,2568,2586
1555029386914,Workstation_2,00000000-0000-0000-0000-0000000000b9,2739,2753
1555029388107,Workstation_2,00000000-0000-0000-0000-0000000000ba,5054,5057
1555029388921,Workstation_2,00000000-0000-0000-0000-0000000000b8,3662,3678
1555029389213,Workstation_2,00000000-0000-0000-0000-0000000000b7,2282,2294
1555029390234,Workstation_2,00000000-0000-0000-0000-0000000000b5,1288,1305
1555029391324,Workstation_2,00000000-0000-0000-0000-0000000000b6,3204,3209
1555029392940,Workstation_2,00000000-0000-0000-0000-0000000000b3,2684,2700
1555029393297,Workstation_2,00000000-0000-0000-0000-0000000000b2,1958,1961
1555029393660,Workstation_2,00000000-0000-0000-0000-0000000000b4,4430,4442
1555029395729,Workstation_2,00000000-0000-0000-0000-0000000000af,2044,2060
1555029397418,Workstation_2,00000000-0000-0000-0000-0000000000b1,4455,4472
1555029397968,Workstation_2,00000000-0000-0000-0000-0000000000b0,4652,4654
1555029400176,Workstation_2,00000000-0000-0000-0000-0000000000ac,2187,2189
1555029400688,Workstation_2,00000000-0000-0000-0000-0000000000ae,4932,4948
1555029400916,Workstation_2,00000000-0000-0000-0000-0000000000ad,3476,3491
1555029402742,Workstation_2,00000000-0000-0000-0000-0000000000ab,2555,2556
1555029403876,Workstation_2,00000000-0000-0000-0000-0000000000a9,2931,2949
1555029404484,Workstation_2,00000000-0000-0000-0000-0000000000a8,1729,1731
1555029405006,Workstation_2,00000000-0000-0000-0000-0000000000aa,4294,4310
1555029405946,Workstation_2,00000000-0000-0000-0000-0000000000a7,2038,2057
1555029407811,Workstation_2,00000000-0000-0000-0000-0000000000a5,2782,2799
1555029407900,Workstation_2,00000000-0000-0000-0000-0000000000a6,3401,3403
1555029408105,Workstation_2,00000000-0000-0000-0000-0000000000a4,2130,2154
1555029412412,Workstation_2,00000000-0000-0000-0000-0000000000a1,4283,4300
1555029412653,Workstation_2,00000000-0000-0000-0000-0000000000a3,4820,4835
1555029413080,Workstation_2,00000000-0000-0000-0000-0000000000a2,5167,5170
1555029414072,Workstation_2,00000000-0000-0000-0000-00000000009f,1398,1411
1555029415303,Workstation_2,00000000-0000-0000-0000-00000000009d,1203,1225
1555029416742,Workstation_2,00000000-0000-0000-0000-0000000000a0,4310,4324
1555029417127,Workstation_2,00000000-0000-0000-0000-00000000009e,4036,4037
1555029417481,Workstation_2,00000000-0000-0000-0000-00000000009c,2155,2168
1555029418368,Workstation_2,00000000-0000-0000-0000-00000000009b,1596,1616
1555029419522,Workstation_2,00000000-0000-0000-0000-000000000098,1124,1143
1555029421083,Workstation_2,00000000-0000-0000-0000-000000000099,3581,3596
1555029421961,Workstation_2,00000000-0000-0000-0000-00000000009a,4817,4818
1555029422741,Workstation_2,00000000-0000-0000-0000-000000000096,1638,1649
1555029423022,Workstation_2,00000000-0000-0000-0000-000000000097,3478,3491
1555029424039,Workstation_2,00000000-0000-0000-0000-000000000095,2060,2062
1555029424787,Workstation_2,00000000-0000-0000-0000-000000000094,2023,2038
1555029426053,Workstation_2,00000000-0000-0000-0000-000000000093,3012,3025
1555029427313,Workstation_2,00000000-0000-0000-0000-000000000092,3264,3265
1555029428739,Workstation_2,00000000-0000-0000-0000-000000000091,3932,3947
1555029429197,Workstation_2,00000000-0000-0000-0000-000000000090,3123,3137
1555029429493,Workstation_2,00000000-0000-0000-0000-00000000008f,2150,2154
1555029431480,Workstation_2,00000000-0000-0000-0000-00000000008c,1976,1978
1555029431791,Workstation_2,00000000-0000-0000-0000-00000000008e,3031,3043
1555029433693,Workstation_2,00000000-0000-0000-0000-00000000008d,4478,4491
1555029434097,Workstation_2,00000000-0000-0000-0000-00000000008b,2600,2602
1555029435102,Workstation_2,00000000-0000-0000-0000-00000000008a,3288,3305
1555029436264,Workstation_2,00000000-0000-0000-0000-000000000087,1146,1156
1555029437421,Workstation_2,00000000-0000-0000-0000-000000000089,3701,3720
1555029438608,Workstation_2,00000000-0000-0000-0000-000000000088,4499,4501
1555029439924,Workstation_2,00000000-0000-0000-0000-000000000086,3643,3655
1555029442230,Workstation_2,00000000-0000-0000-0000-000000000085,4787,4798
1555029442776,Workstation_2,00000000-0000-0000-0000-000000000084,4156,4158
1555029442947,Workstation_2,00000000-0000-0000-0000-000000000083,3003,3015
1555029444657,Workstation_2,00000000-0000-0000-0000-000000000080,1686,1706
1555029445680,Workstation_2,00000000-0000-0000-0000-000000000081,2891,2894
