time (since java epoch),submitter name,uuid,runtime(jar),total runtime(start shadow to receive result)
1555030906921,Workstation_2,00000000-0000-0000-0000-000000000000,2098,2305
1555030907884,Workstation_2,00000000-0000-0000-0000-000000000002,2582,2688
1555030908714,Workstation_2,00000000-0000-0000-0000-000000000001,3678,3688
1555030909616,Workstation_2,00000000-0000-0000-0000-000000000070,1715,1730
1555030910556,Workstation_2,00000000-0000-0000-0000-000000000003,3315,5285
1555030911395,Workstation_2,00000000-0000-0000-0000-000000000005,4460,4480
1555030912934,Workstation_2,00000000-0000-0000-0000-0000000000c4,1506,1527
1555030913741,Workstation_2,00000000-0000-0000-0000-000000000037,4999,5000
1555030913753,Workstation_2,00000000-0000-0000-0000-000000000063,4613,5774
1555030914273,Workstation_2,00000000-0000-0000-0000-0000000000c7,3182,4356
1555030914325,Workstation_2,00000000-0000-0000-0000-0000000000c6,4691,4703
1555030917206,Workstation_2,00000000-0000-0000-0000-0000000000c5,4248,4264
1555030917382,Workstation_2,00000000-0000-0000-0000-0000000000c3,3619,3621
1555030919072,Workstation_2,00000000-0000-0000-0000-0000000000c2,4719,4741
1555030919720,Workstation_2,00000000-0000-0000-0000-0000000000c0,2319,2322
1555030920213,Workstation_2,00000000-0000-0000-0000-0000000000c1,2987,3002
1555030922183,Workstation_2,00000000-0000-0000-0000-0000000000bf,3080,3105
1555030922809,Workstation_2,00000000-0000-0000-0000-0000000000be,3070,3075
1555030924699,Workstation_2,00000000-0000-0000-0000-0000000000bc,2480,2509
1555030924710,Workstation_2,00000000-0000-0000-0000-0000000000bd,4460,4490
1555030925499,Workstation_2,00000000-0000-0000-0000-0000000000bb,2673,2674
1555030927471,Workstation_2,00000000-0000-0000-0000-0000000000b9,2739,2752
1555030929283,Workstation_2,00000000-0000-0000-0000-0000000000b8,3762,3765
1555030929732,Workstation_2,00000000-0000-0000-0000-0000000000ba,4998,5026
1555030929778,Workstation_2,00000000-0000-0000-0000-0000000000b7,2283,2299
1555030931024,Workstation_2,00000000-0000-0000-0000-0000000000b5,1271,1286
1555030932440,Workstation_2,00000000-0000-0000-0000-0000000000b6,3145,3147
