time (since java epoch),submitter name,uuid,runtime(jar),total runtime(start shadow to receive result)
1555032803644,Workstation_2,00000000-0000-0000-0000-000000000003,2616,2626
1555032804309,Workstation_2,00000000-0000-0000-0000-000000000002,3181,3315
1555032804753,Workstation_2,00000000-0000-0000-0000-000000000001,3757,3913
1555032805916,Workstation_2,00000000-0000-0000-0000-0000000002b6,1149,1170
1555032805969,Workstation_2,00000000-0000-0000-0000-0000000002fb,1641,1666
1555032807079,Workstation_2,00000000-0000-0000-0000-000000000000,4503,6463
1555032807796,Workstation_2,00000000-0000-0000-0000-0000000002e0,1795,1817
1555032807933,Workstation_2,00000000-0000-0000-0000-000000000079,3827,3834
1555032809589,Workstation_2,00000000-0000-0000-0000-00000000031f,3649,3663
1555032811645,Workstation_2,00000000-0000-0000-0000-00000000020b,3699,3701
1555032812685,Workstation_2,00000000-0000-0000-0000-000000000122,4867,4884
1555032814076,Workstation_2,00000000-0000-0000-0000-000000000240,4464,4478
1555032815565,Workstation_2,00000000-0000-0000-0000-00000000008b,3895,3896
1555032816212,Workstation_2,00000000-0000-0000-0000-000000000161,3411,3515
1555032816776,Workstation_2,00000000-0000-0000-0000-00000000006c,2677,2691
1555032818322,Workstation_2,00000000-0000-0000-0000-000000000006,1520,1541
1555032818355,Workstation_2,00000000-0000-0000-0000-000000000057,2773,2776
1555032819652,Workstation_2,00000000-0000-0000-0000-00000000031d,1286,1288
1555032820043,Workstation_2,00000000-0000-0000-0000-000000000042,3809,3824
1555032821730,Workstation_2,00000000-0000-0000-0000-00000000031e,3391,3404
1555032823192,Workstation_2,00000000-0000-0000-0000-00000000031c,3527,3529
1555032823555,Workstation_2,00000000-0000-0000-0000-00000000031b,3484,3503
1555032824371,Workstation_2,00000000-0000-0000-0000-000000000319,1171,1173
1555032825292,Workstation_2,00000000-0000-0000-0000-00000000031a,3544,3554
1555032827335,Workstation_2,00000000-0000-0000-0000-000000000317,2954,2955
1555032827891,Workstation_2,00000000-0000-0000-0000-000000000318,4307,4323
1555032829030,Workstation_2,00000000-0000-0000-0000-000000000315,1687,1688
1555032829033,Workstation_2,00000000-0000-0000-0000-000000000314,1095,1129
1555032830285,Workstation_2,00000000-0000-0000-0000-000000000316,4974,4988
1555032832849,Workstation_2,00000000-0000-0000-0000-000000000311,2543,2558
1555032833692,Workstation_2,00000000-0000-0000-0000-000000000313,4650,4652
1555032833764,Workstation_2,00000000-0000-0000-0000-000000000312,4708,4720
