time (since java epoch),submitter name,uuid,runtime(jar),total runtime(start shadow to receive result)
1555065733804,Workstation_2,00000000-0000-0000-0000-000000000000,2550,2564
1555065734853,Workstation_2,00000000-0000-0000-0000-000000000003,3243,3428
1555065734885,Workstation_2,00000000-0000-0000-0000-000000000001,3287,3460
1555065735149,Workstation_2,00000000-0000-0000-0000-000000000002,2515,3724
1555065735270,Workstation_2,00000000-0000-0000-0000-000000000040,1427,1429
1555065738795,Workstation_2,00000000-0000-0000-0000-000000000017,3893,3910
1555065738902,Workstation_2,00000000-0000-0000-0000-000000000034,3620,3623
1555065739583,Workstation_2,00000000-0000-0000-0000-0000000000c2,4708,4748
1555065741571,Workstation_2,00000000-0000-0000-0000-000000000073,2757,2773
1555065742080,Workstation_2,00000000-0000-0000-0000-0000000000c7,3168,3169
1555065743757,Workstation_2,00000000-0000-0000-0000-0000000000c4,1658,1660
1555065744294,Workstation_2,00000000-0000-0000-0000-0000000000c6,4690,4707
1555065745848,Workstation_2,00000000-0000-0000-0000-0000000000c5,4248,4270
1555065747294,Workstation_2,00000000-0000-0000-0000-0000000000c1,2980,2993
1555065747343,Workstation_2,00000000-0000-0000-0000-0000000000c3,3566,3568
1555065748030,Workstation_2,00000000-0000-0000-0000-0000000000c0,2163,2177
1555065750394,Workstation_2,00000000-0000-0000-0000-0000000000bf,3077,3096
1555065750450,Workstation_2,00000000-0000-0000-0000-0000000000be,3089,3090
1555065752512,Workstation_2,00000000-0000-0000-0000-0000000000bd,4459,4476
1555065752892,Workstation_2,00000000-0000-0000-0000-0000000000bc,2478,2492
1555065753183,Workstation_2,00000000-0000-0000-0000-0000000000bb,2722,2724
1555065755660,Workstation_2,00000000-0000-0000-0000-0000000000b9,2749,2762
1555065756937,Workstation_2,00000000-0000-0000-0000-0000000000b8,3743,3746
1555065757539,Workstation_2,00000000-0000-0000-0000-0000000000ba,5001,5018
1555065757963,Workstation_2,00000000-0000-0000-0000-0000000000b7,2282,2293
1555065758832,Workstation_2,00000000-0000-0000-0000-0000000000b5,1274,1289
1555065760266,Workstation_2,00000000-0000-0000-0000-0000000000b6,3233,3235
1555065761533,Workstation_2,00000000-0000-0000-0000-0000000000b3,2676,2697
1555065762267,Workstation_2,00000000-0000-0000-0000-0000000000b2,1986,1988
1555065762413,Workstation_2,00000000-0000-0000-0000-0000000000b4,4430,4443
1555065764462,Workstation_2,00000000-0000-0000-0000-0000000000af,2024,2042
1555065765997,Workstation_2,00000000-0000-0000-0000-0000000000b1,4442,4461
1555065766995,Workstation_2,00000000-0000-0000-0000-0000000000b0,4708,4710
1555065769219,Workstation_2,00000000-0000-0000-0000-0000000000ac,2211,2214
1555065769402,Workstation_2,00000000-0000-0000-0000-0000000000ae,4922,4934
1555065769487,Workstation_2,00000000-0000-0000-0000-0000000000ad,3472,3487
1555065771789,Workstation_2,00000000-0000-0000-0000-0000000000ab,2553,2557
1555065772430,Workstation_2,00000000-0000-0000-0000-0000000000a9,2924,2937
1555065773520,Workstation_2,00000000-0000-0000-0000-0000000000a8,1724,1724
1555065773713,Workstation_2,00000000-0000-0000-0000-0000000000aa,4293,4305
1555065774479,Workstation_2,00000000-0000-0000-0000-0000000000a7,2029,2044
1555065776492,Workstation_2,00000000-0000-0000-0000-0000000000a5,2762,2774
1555065776570,Workstation_2,00000000-0000-0000-0000-0000000000a4,2076,2087
1555065776947,Workstation_2,00000000-0000-0000-0000-0000000000a6,3415,3417
1555065781280,Workstation_2,00000000-0000-0000-0000-0000000000a1,4321,4323
1555065781384,Workstation_2,00000000-0000-0000-0000-0000000000a3,4869,4884
1555065781672,Workstation_2,00000000-0000-0000-0000-0000000000a2,5080,5096
1555065782809,Workstation_2,00000000-0000-0000-0000-00000000009f,1406,1420
1555065784035,Workstation_2,00000000-0000-0000-0000-00000000009d,1200,1219
1555065785670,Workstation_2,00000000-0000-0000-0000-00000000009e,3982,3994
1555065785737,Workstation_2,00000000-0000-0000-0000-0000000000a0,4442,4445
1555065786196,Workstation_2,00000000-0000-0000-0000-00000000009c,2140,2152
1555065787279,Workstation_2,00000000-0000-0000-0000-00000000009b,1578,1594
