time (since java epoch),machine name,load (0 to 1)
1554989482854,853,Manager centralmanager-vm9,0.5208333333333334
1554989483865,1864,Manager centralmanager-vm9,0.22448979591836735
1554989484854,2853,Manager centralmanager-vm9,0.03
1554989485855,3854,Manager centralmanager-vm9,0.01020408163265306
1554989486854,4853,Manager centralmanager-vm9,0.010101010101010102
1554989487854,5853,Manager centralmanager-vm9,0.010309278350515464
1554989488864,6863,Manager centralmanager-vm9,0.019801980198019802
1554989489855,7854,Manager centralmanager-vm9,0.01020408163265306
1554989490855,8854,Manager centralmanager-vm9,0.010101010101010102
1554989491854,9853,Manager centralmanager-vm9,0.01020408163265306
1554989492855,10854,Manager centralmanager-vm9,0.010101010101010102
1554989493855,11854,Manager centralmanager-vm9,0.020202020202020204
1554989494855,12854,Manager centralmanager-vm9,0.0
1554989495854,13853,Manager centralmanager-vm9,0.010101010101010102
1554989496855,14854,Manager centralmanager-vm9,0.01020408163265306
1554989497855,15854,Manager centralmanager-vm9,0.020202020202020204
1554989498854,16853,Manager centralmanager-vm9,0.020202020202020204
1554989499854,17853,Manager centralmanager-vm9,0.0
1554989500854,18853,Manager centralmanager-vm9,0.010101010101010102
1554989501855,19854,Manager centralmanager-vm9,0.010101010101010102
1554989502854,20853,Manager centralmanager-vm9,0.01020408163265306
1554989503854,21853,Manager centralmanager-vm9,0.0
1554989504854,22853,Manager centralmanager-vm9,0.010101010101010102
1554989505855,23854,Manager centralmanager-vm9,0.0
1554989506855,24854,Manager centralmanager-vm9,0.010101010101010102
1554989507854,25853,Manager centralmanager-vm9,0.010101010101010102
1554989508854,26853,Manager centralmanager-vm9,0.0
1554989509854,27853,Manager centralmanager-vm9,0.0
1554989510854,28853,Manager centralmanager-vm9,0.0
1554989511854,29853,Manager centralmanager-vm9,0.010101010101010102
1554989512855,30854,Manager centralmanager-vm9,0.0
1554989513855,31854,Manager centralmanager-vm9,0.0
1554989514854,32853,Manager centralmanager-vm9,0.01020408163265306
1554989515854,33853,Manager centralmanager-vm9,0.020202020202020204
1554989516854,34853,Manager centralmanager-vm9,0.01
1554989517854,35853,Manager centralmanager-vm9,0.02040816326530612
1554989518855,36854,Manager centralmanager-vm9,0.01020408163265306
1554989519854,37853,Manager centralmanager-vm9,0.01020408163265306
1554989520855,38854,Manager centralmanager-vm9,0.020202020202020204
1554989521854,39853,Manager centralmanager-vm9,0.0
1554989522854,40853,Manager centralmanager-vm9,0.010101010101010102
1554989523854,41853,Manager centralmanager-vm9,0.010101010101010102
1554989524855,42854,Manager centralmanager-vm9,0.010101010101010102
1554989525854,43853,Manager centralmanager-vm9,0.020202020202020204
1554989526854,44853,Manager centralmanager-vm9,0.01020408163265306
1554989527855,45854,Manager centralmanager-vm9,0.0
1554989528854,46853,Manager centralmanager-vm9,0.010101010101010102
1554989529854,47853,Manager centralmanager-vm9,0.020202020202020204
1554989530864,48863,Manager centralmanager-vm9,0.010101010101010102
1554989531854,49853,Manager centralmanager-vm9,0.02040816326530612
1554989532855,50854,Manager centralmanager-vm9,0.010101010101010102
1554989533855,51854,Manager centralmanager-vm9,0.010101010101010102
1554989534854,52853,Manager centralmanager-vm9,0.030612244897959183
1554989535854,53853,Manager centralmanager-vm9,0.02
1554989536855,54854,Manager centralmanager-vm9,0.0
1554989537854,55853,Manager centralmanager-vm9,0.0
1554989538854,56853,Manager centralmanager-vm9,0.0
1554989539854,57853,Manager centralmanager-vm9,0.010101010101010102
1554989540855,58854,Manager centralmanager-vm9,0.0
1554989541854,59853,Manager centralmanager-vm9,0.010101010101010102
1554989542854,60853,Manager centralmanager-vm9,0.0
1554989543854,61853,Manager centralmanager-vm9,0.010101010101010102
1554989544854,62853,Manager centralmanager-vm9,0.010101010101010102
1554989545855,63854,Manager centralmanager-vm9,0.030303030303030304
1554989546854,64853,Manager centralmanager-vm9,0.0
1554989547854,65853,Manager centralmanager-vm9,0.0
1554989548854,66853,Manager centralmanager-vm9,0.010101010101010102
1554989549854,67853,Manager centralmanager-vm9,0.0
1554989550854,68853,Manager centralmanager-vm9,0.0
1554989551855,69854,Manager centralmanager-vm9,0.0
1554989552854,70853,Manager centralmanager-vm9,0.010101010101010102
1554989553854,71853,Manager centralmanager-vm9,0.0
1554989554855,72854,Manager centralmanager-vm9,0.010101010101010102
1554989555854,73853,Manager centralmanager-vm9,0.010101010101010102
1554989556864,74863,Manager centralmanager-vm9,0.020202020202020204
1554989557855,75854,Manager centralmanager-vm9,0.01020408163265306
1554989558854,76853,Manager centralmanager-vm9,0.01020408163265306
1554989559864,77863,Manager centralmanager-vm9,0.0
1554989560855,78854,Manager centralmanager-vm9,0.010309278350515464
1554989561854,79853,Manager centralmanager-vm9,0.01020408163265306
1554989562855,80854,Manager centralmanager-vm9,0.020202020202020204
1554989563864,81863,Manager centralmanager-vm9,0.0
1554989564854,82853,Manager centralmanager-vm9,0.0
1554989565854,83853,Manager centralmanager-vm9,0.010101010101010102
1554989566854,84853,Manager centralmanager-vm9,0.010101010101010102
1554989567854,85853,Manager centralmanager-vm9,0.0
1554989568854,86853,Manager centralmanager-vm9,0.010101010101010102
1554989569854,87853,Manager centralmanager-vm9,0.01020408163265306
1554989570854,88853,Manager centralmanager-vm9,0.010101010101010102
1554989571854,89853,Manager centralmanager-vm9,0.0
1554989572854,90853,Manager centralmanager-vm9,0.02
1554989573854,91853,Manager centralmanager-vm9,0.0
1554989574854,92853,Manager centralmanager-vm9,0.010101010101010102
