time (since java epoch),machine name,load (0 to 1)
1554992742094,874,Manager centralmanager-vm9,0.09183673469387754
1554992743104,1884,Manager centralmanager-vm9,0.4791666666666667
1554992744104,2884,Manager centralmanager-vm9,0.3163265306122449
1554992745104,3884,Manager centralmanager-vm9,0.38144329896907214
1554992746104,4884,Manager centralmanager-vm9,0.41414141414141414
1554992747094,5874,Manager centralmanager-vm9,0.01020408163265306
1554992748093,6873,Manager centralmanager-vm9,0.010101010101010102
1554992749094,7874,Manager centralmanager-vm9,0.030612244897959183
1554992750104,8884,Manager centralmanager-vm9,0.0
1554992751094,9874,Manager centralmanager-vm9,0.030303030303030304
1554992752094,10874,Manager centralmanager-vm9,0.020202020202020204
1554992753093,11873,Manager centralmanager-vm9,0.0
1554992754094,12874,Manager centralmanager-vm9,0.04081632653061224
1554992755104,13884,Manager centralmanager-vm9,0.020202020202020204
1554992756094,14874,Manager centralmanager-vm9,0.0
1554992757094,15874,Manager centralmanager-vm9,0.020202020202020204
1554992758093,16873,Manager centralmanager-vm9,0.1326530612244898
1554992759093,17873,Manager centralmanager-vm9,0.01020408163265306
1554992760093,18873,Manager centralmanager-vm9,0.030303030303030304
1554992761094,19874,Manager centralmanager-vm9,0.0
1554992762094,20874,Manager centralmanager-vm9,0.01020408163265306
1554992763094,21874,Manager centralmanager-vm9,0.03
1554992764094,22874,Manager centralmanager-vm9,0.010309278350515464
1554992765094,23874,Manager centralmanager-vm9,0.05154639175257732
1554992766094,24874,Manager centralmanager-vm9,0.030927835051546393
1554992767094,25874,Manager centralmanager-vm9,0.010101010101010102
1554992768094,26874,Manager centralmanager-vm9,0.0
1554992769094,27874,Manager centralmanager-vm9,0.1212121212121212
1554992770094,28874,Manager centralmanager-vm9,0.02040816326530612
1554992771094,29874,Manager centralmanager-vm9,0.0
1554992772094,30874,Manager centralmanager-vm9,0.02040816326530612
1554992773094,31874,Manager centralmanager-vm9,0.01020408163265306
1554992774094,32874,Manager centralmanager-vm9,0.010101010101010102
1554992775094,33874,Manager centralmanager-vm9,0.010309278350515464
1554992776095,34875,Manager centralmanager-vm9,0.01020408163265306
1554992777094,35874,Manager centralmanager-vm9,0.010101010101010102
1554992778094,36874,Manager centralmanager-vm9,0.0
1554992779094,37874,Manager centralmanager-vm9,0.010309278350515464
1554992780094,38874,Manager centralmanager-vm9,0.02040816326530612
1554992781093,39873,Manager centralmanager-vm9,0.08163265306122448
1554992782094,40874,Manager centralmanager-vm9,0.010101010101010102
1554992783094,41874,Manager centralmanager-vm9,0.020618556701030927
1554992784094,42874,Manager centralmanager-vm9,0.0
1554992785094,43874,Manager centralmanager-vm9,0.030927835051546393
1554992786094,44874,Manager centralmanager-vm9,0.01020408163265306
1554992787093,45873,Manager centralmanager-vm9,0.020202020202020204
1554992788094,46874,Manager centralmanager-vm9,0.010101010101010102
1554992789094,47874,Manager centralmanager-vm9,0.01020408163265306
1554992790094,48874,Manager centralmanager-vm9,0.01020408163265306
1554992791094,49874,Manager centralmanager-vm9,0.01020408163265306
1554992792093,50873,Manager centralmanager-vm9,0.02040816326530612
1554992793094,51874,Manager centralmanager-vm9,0.0
1554992794094,52874,Manager centralmanager-vm9,0.02040816326530612
1554992795094,53874,Manager centralmanager-vm9,0.0
1554992796094,54874,Manager centralmanager-vm9,0.02040816326530612
1554992797094,55874,Manager centralmanager-vm9,0.010101010101010102
1554992798094,56874,Manager centralmanager-vm9,0.02040816326530612
1554992799097,57877,Manager centralmanager-vm9,0.010101010101010102
1554992800094,58874,Manager centralmanager-vm9,0.0
1554992801093,59873,Manager centralmanager-vm9,0.0
1554992802094,60874,Manager centralmanager-vm9,0.010101010101010102
1554992803094,61874,Manager centralmanager-vm9,0.01020408163265306
1554992804094,62874,Manager centralmanager-vm9,0.02040816326530612
1554992805094,63874,Manager centralmanager-vm9,0.0
1554992806094,64874,Manager centralmanager-vm9,0.0
1554992807094,65874,Manager centralmanager-vm9,0.01020408163265306
1554992808094,66874,Manager centralmanager-vm9,0.02
1554992809094,67874,Manager centralmanager-vm9,0.020618556701030927
1554992810094,68874,Manager centralmanager-vm9,0.020202020202020204
1554992811094,69874,Manager centralmanager-vm9,0.010309278350515464
1554992812094,70874,Manager centralmanager-vm9,0.02
