time (since java epoch),submitter name,uuid,runtime(jar),total runtime(start shadow to receive result)
1554992752463,Workstation_2,00000000-0000-0000-0000-000000000002,2553,2717
1554992753029,Workstation_2,00000000-0000-0000-0000-000000000001,3271,3382
1554992753078,Workstation_2,00000000-0000-0000-0000-000000000003,3313,3329
1554992754722,Workstation_2,00000000-0000-0000-0000-0000000000a8,1669,1682
1554992755982,Workstation_2,00000000-0000-0000-0000-00000000004f,3498,3511
1554992757502,Workstation_2,00000000-0000-0000-0000-000000000009,4409,4410
1554992757815,Workstation_2,00000000-0000-0000-0000-0000000000c7,3065,3082
1554992759344,Workstation_2,00000000-0000-0000-0000-0000000000c4,1502,1517
1554992760696,Workstation_2,00000000-0000-0000-0000-0000000000c6,4696,4708
1554992761890,Workstation_2,00000000-0000-0000-0000-0000000000c5,4370,4373
1554992762838,Workstation_2,00000000-0000-0000-0000-0000000000c3,3474,3486
1554992765023,Workstation_2,00000000-0000-0000-0000-0000000000c0,2165,2177
1554992765059,Workstation_2,00000000-0000-0000-0000-0000000000c1,3138,3144
1554992765430,Workstation_2,00000000-0000-0000-0000-0000000000c2,4709,4724
1554992768161,Workstation_2,00000000-0000-0000-0000-0000000000be,3091,3094
1554992768166,Workstation_2,00000000-0000-0000-0000-0000000000bf,3079,3135
1554992769913,Workstation_2,00000000-0000-0000-0000-0000000000bd,4458,4476
1554992770681,Workstation_2,00000000-0000-0000-0000-0000000000bc,2488,2512
1554992770903,Workstation_2,00000000-0000-0000-0000-0000000000bb,2721,2728
1554992773440,Workstation_2,00000000-0000-0000-0000-0000000000b9,2738,2754
1554992774661,Workstation_2,00000000-0000-0000-0000-0000000000b8,3750,3752
1554992774932,Workstation_2,00000000-0000-0000-0000-0000000000ba,5000,5013
1554992775753,Workstation_2,00000000-0000-0000-0000-0000000000b7,2286,2305
1554992776230,Workstation_2,00000000-0000-0000-0000-0000000000b5,1270,1286
1554992777839,Workstation_2,00000000-0000-0000-0000-0000000000b6,3164,3166
1554992778941,Workstation_2,00000000-0000-0000-0000-0000000000b3,2684,2697
1554992779874,Workstation_2,00000000-0000-0000-0000-0000000000b2,2015,2018
1554992780202,Workstation_2,00000000-0000-0000-0000-0000000000b4,4429,4442
1554992782244,Workstation_2,00000000-0000-0000-0000-0000000000af,2023,2034
1554992783419,Workstation_2,00000000-0000-0000-0000-0000000000b1,4457,4471
1554992784591,Workstation_2,00000000-0000-0000-0000-0000000000b0,4703,4705
1554992786810,Workstation_2,00000000-0000-0000-0000-0000000000ac,2208,2209
1554992786904,Workstation_2,00000000-0000-0000-0000-0000000000ad,3469,3481
1554992787191,Workstation_2,00000000-0000-0000-0000-0000000000ae,4922,4940
1554992789506,Workstation_2,00000000-0000-0000-0000-0000000000ab,2683,2684
1554992790134,Workstation_2,00000000-0000-0000-0000-0000000000a9,2916,2937
1554992791220,Workstation_2,00000000-0000-0000-0000-0000000000aa,4296,4308
1554992791609,Workstation_2,00000000-0000-0000-0000-0000000000a7,2086,2090
1554992793493,Workstation_2,00000000-0000-0000-0000-0000000000a6,3343,3353
1554992793768,Workstation_2,00000000-0000-0000-0000-0000000000a4,2139,2147
1554992794015,Workstation_2,00000000-0000-0000-0000-0000000000a5,2772,2788
1554992798313,Workstation_2,00000000-0000-0000-0000-0000000000a1,4270,4284
1554992798336,Workstation_2,00000000-0000-0000-0000-0000000000a3,4820,4837
1554992798931,Workstation_2,00000000-0000-0000-0000-0000000000a2,5146,5148
1554992799748,Workstation_2,00000000-0000-0000-0000-00000000009f,1397,1409
1554992800971,Workstation_2,00000000-0000-0000-0000-00000000009d,1200,1216
1554992802646,Workstation_2,00000000-0000-0000-0000-0000000000a0,4308,4324
1554992802976,Workstation_2,00000000-0000-0000-0000-00000000009e,4030,4034
1554992803130,Workstation_2,00000000-0000-0000-0000-00000000009c,2139,2151
1554992804246,Workstation_2,00000000-0000-0000-0000-00000000009b,1580,1592
1554992805400,Workstation_2,00000000-0000-0000-0000-000000000098,1133,1149
1554992806737,Workstation_2,00000000-0000-0000-0000-000000000099,3586,3598
1554992807900,Workstation_2,00000000-0000-0000-0000-00000000009a,4908,4911
1554992808390,Workstation_2,00000000-0000-0000-0000-000000000096,1634,1643
1554992808901,Workstation_2,00000000-0000-0000-0000-000000000097,3481,3495
1554992809987,Workstation_2,00000000-0000-0000-0000-000000000095,2076,2078
1554992810439,Workstation_2,00000000-0000-0000-0000-000000000094,2024,2041
1554992811938,Workstation_2,00000000-0000-0000-0000-000000000093,3011,3025
1554992813268,Workstation_2,00000000-0000-0000-0000-000000000092,3270,3272
1554992814393,Workstation_2,00000000-0000-0000-0000-000000000091,3936,3949
1554992815072,Workstation_2,00000000-0000-0000-0000-000000000090,3113,3129
1554992815451,Workstation_2,00000000-0000-0000-0000-00000000008f,2165,2167
1554992817416,Workstation_2,00000000-0000-0000-0000-00000000008c,1945,1946
1554992817445,Workstation_2,00000000-0000-0000-0000-00000000008e,3029,3044
1554992819587,Workstation_2,00000000-0000-0000-0000-00000000008d,4491,4504
1554992820115,Workstation_2,00000000-0000-0000-0000-00000000008b,2679,2681
1554992820764,Workstation_2,00000000-0000-0000-0000-00000000008a,3294,3307
1554992821920,Workstation_2,00000000-0000-0000-0000-000000000087,1139,1151
1554992823300,Workstation_2,00000000-0000-0000-0000-000000000089,3696,3708
1554992824659,Workstation_2,00000000-0000-0000-0000-000000000088,4493,4496
1554992825583,Workstation_2,00000000-0000-0000-0000-000000000086,3645,3656
1554992828107,Workstation_2,00000000-0000-0000-0000-000000000085,4780,4794
1554992828625,Workstation_2,00000000-0000-0000-0000-000000000083,3017,3036
1554992828838,Workstation_2,00000000-0000-0000-0000-000000000084,4160,4162
1554992830609,Workstation_2,00000000-0000-0000-0000-000000000080,1761,1762
1554992831487,Workstation_2,00000000-0000-0000-0000-000000000081,2847,2856
1554992831613,Workstation_2,00000000-0000-0000-0000-000000000082,3488,3500
1554992832012,Workstation_2,00000000-0000-0000-0000-00000000007f,1394,1395
1554992833477,Workstation_2,00000000-0000-0000-0000-00000000007e,1968,1981
1554992835188,Workstation_2,00000000-0000-0000-0000-00000000007c,3158,3161
1554992835194,Workstation_2,00000000-0000-0000-0000-00000000007d,3565,3577
1554992835931,Workstation_2,00000000-0000-0000-0000-00000000007b,2433,2447
1554992837043,Workstation_2,00000000-0000-0000-0000-000000000079,1838,1839
1554992837894,Workstation_2,00000000-0000-0000-0000-000000000078,1947,1959
1554992839923,Workstation_2,00000000-0000-0000-0000-00000000007a,4711,4723
1554992840900,Workstation_2,00000000-0000-0000-0000-000000000077,3845,3847
1554992841061,Workstation_2,00000000-0000-0000-0000-000000000076,3150,3159
1554992841586,Workstation_2,00000000-0000-0000-0000-000000000075,1645,1656
