time (since java epoch),submitter name,uuid,runtime(jar),total runtime(start shadow to receive result)
1554995923045,Workstation_2,00000000-0000-0000-0000-000000000002,2669,2696
1554995923793,Workstation_2,00000000-0000-0000-0000-000000000003,3255,3437
1554995923824,Workstation_2,00000000-0000-0000-0000-000000000004,3295,3454
1554995925519,Workstation_2,00000000-0000-0000-0000-0000000000a8,1677,1698
1554995926237,Workstation_2,00000000-0000-0000-0000-0000000000c1,3175,3177
1554995927197,Workstation_2,00000000-0000-0000-0000-000000000018,1653,1672
1554995927353,Workstation_2,00000000-0000-0000-0000-000000000034,3525,3559
1554995929582,Workstation_2,00000000-0000-0000-0000-000000000092,3326,3330
1554995930444,Workstation_2,00000000-0000-0000-0000-0000000000c7,3064,3084
1554995931665,Workstation_2,00000000-0000-0000-0000-000000000005,4444,4460
1554995933195,Workstation_2,00000000-0000-0000-0000-0000000000c4,1500,1518
1554995934423,Workstation_2,00000000-0000-0000-0000-0000000000c6,4822,4823
1554995934721,Workstation_2,00000000-0000-0000-0000-0000000000c5,4246,4262
1554995936696,Workstation_2,00000000-0000-0000-0000-0000000000c3,3479,3495
1554995936899,Workstation_2,00000000-0000-0000-0000-0000000000c0,2156,2171
1554995939333,Workstation_2,00000000-0000-0000-0000-0000000000c2,4890,4895
1554995939793,Workstation_2,00000000-0000-0000-0000-0000000000bf,3070,3090
1554995939861,Workstation_2,00000000-0000-0000-0000-0000000000be,2940,2955
1554995942294,Workstation_2,00000000-0000-0000-0000-0000000000bc,2476,2493
1554995942454,Workstation_2,00000000-0000-0000-0000-0000000000bb,2569,2585
1554995943908,Workstation_2,00000000-0000-0000-0000-0000000000bd,4555,4556
1554995945214,Workstation_2,00000000-0000-0000-0000-0000000000b9,2736,2754
1554995947317,Workstation_2,00000000-0000-0000-0000-0000000000ba,4998,5012
1554995947555,Workstation_2,00000000-0000-0000-0000-0000000000b7,2296,2318
1554995947701,Workstation_2,00000000-0000-0000-0000-0000000000b8,3774,3778
1554995948846,Workstation_2,00000000-0000-0000-0000-0000000000b5,1269,1285
1554995950426,Workstation_2,00000000-0000-0000-0000-0000000000b6,3082,3099
1554995951555,Workstation_2,00000000-0000-0000-0000-0000000000b3,2678,2703
1554995952219,Workstation_2,00000000-0000-0000-0000-0000000000b4,4501,4502
1554995952358,Workstation_2,00000000-0000-0000-0000-0000000000b2,1912,1926
1554995954399,Workstation_2,00000000-0000-0000-0000-0000000000af,2017,2031
1554995956023,Workstation_2,00000000-0000-0000-0000-0000000000b1,4446,4459
1554995957046,Workstation_2,00000000-0000-0000-0000-0000000000b0,4796,4800
1554995959367,Workstation_2,00000000-0000-0000-0000-0000000000ae,4944,4959
1554995959394,Workstation_2,00000000-0000-0000-0000-0000000000ac,2332,2335
1554995959527,Workstation_2,00000000-0000-0000-0000-0000000000ad,3474,3495
1554995961886,Workstation_2,00000000-0000-0000-0000-0000000000ab,2492,2512
1554995962504,Workstation_2,00000000-0000-0000-0000-0000000000a9,2917,2970
1554995963931,Workstation_2,00000000-0000-0000-0000-0000000000a7,2024,2037
1554995963961,Workstation_2,00000000-0000-0000-0000-0000000000aa,4554,4555
1554995965872,Workstation_2,00000000-0000-0000-0000-0000000000a6,3337,3359
1554995966192,Workstation_2,00000000-0000-0000-0000-0000000000a4,2212,2214
1554995966710,Workstation_2,00000000-0000-0000-0000-0000000000a5,2757,2772
1554995970714,Workstation_2,00000000-0000-0000-0000-0000000000a3,4815,4830
1554995970996,Workstation_2,00000000-0000-0000-0000-0000000000a1,4268,4280
1554995971371,Workstation_2,00000000-0000-0000-0000-0000000000a2,5163,5164
1554995972437,Workstation_2,00000000-0000-0000-0000-00000000009f,1421,1434
1554995973662,Workstation_2,00000000-0000-0000-0000-00000000009d,1203,1215
1554995975042,Workstation_2,00000000-0000-0000-0000-0000000000a0,4302,4321
1554995975488,Workstation_2,00000000-0000-0000-0000-00000000009e,4094,4096
1554995975823,Workstation_2,00000000-0000-0000-0000-00000000009c,2137,2148
1554995976631,Workstation_2,00000000-0000-0000-0000-00000000009b,1572,1586
1554995977767,Workstation_2,00000000-0000-0000-0000-000000000098,1114,1129
1554995979421,Workstation_2,00000000-0000-0000-0000-000000000099,3578,3589
1554995980389,Workstation_2,00000000-0000-0000-0000-00000000009a,4883,4885
