time (since java epoch),machine name,load (0 to 1)
1554996957100,559,Manager centralmanager-vm5,0.04
1554996958100,1559,Manager centralmanager-vm5,0.04
1554996959100,2559,Manager centralmanager-vm5,0.05
1554996960099,3558,Manager centralmanager-vm5,0.42424242424242425
1554996961110,4569,Manager centralmanager-vm5,0.3627450980392157
1554996962110,5569,Manager centralmanager-vm5,0.03
1554996963100,6559,Manager centralmanager-vm5,0.05
1554996964100,7559,Manager centralmanager-vm5,0.039603960396039604
1554996965100,8559,Manager centralmanager-vm5,0.03
1554996966100,9559,Manager centralmanager-vm5,0.0297029702970297
1554996967100,10559,Manager centralmanager-vm5,0.039603960396039604
1554996968100,11559,Manager centralmanager-vm5,0.04
1554996969100,12559,Manager centralmanager-vm5,0.039603960396039604
1554996970100,13559,Manager centralmanager-vm5,0.0297029702970297
1554996971099,14558,Manager centralmanager-vm5,0.0297029702970297
1554996972100,15559,Manager centralmanager-vm5,0.02
1554996973100,16559,Manager centralmanager-vm5,0.039603960396039604
1554996974100,17559,Manager centralmanager-vm5,0.020202020202020204
1554996975100,18559,Manager centralmanager-vm5,0.04
1554996976099,19558,Manager centralmanager-vm5,0.03
1554996977100,20559,Manager centralmanager-vm5,0.020202020202020204
1554996978100,21559,Manager centralmanager-vm5,0.02
1554996979100,22559,Manager centralmanager-vm5,0.04854368932038835
1554996980100,23559,Manager centralmanager-vm5,0.020202020202020204
1554996981099,24558,Manager centralmanager-vm5,0.02
1554996982100,25559,Manager centralmanager-vm5,0.039603960396039604
1554996983100,26559,Manager centralmanager-vm5,0.010101010101010102
1554996984100,27559,Manager centralmanager-vm5,0.020202020202020204
1554996985110,28569,Manager centralmanager-vm5,0.0297029702970297
1554996986100,29559,Manager centralmanager-vm5,0.030303030303030304
1554996987100,30559,Manager centralmanager-vm5,0.039603960396039604
1554996988100,31559,Manager centralmanager-vm5,0.030303030303030304
1554996989100,32559,Manager centralmanager-vm5,0.04
1554996990100,33559,Manager centralmanager-vm5,0.0297029702970297
1554996991100,34559,Manager centralmanager-vm5,0.020202020202020204
1554996992100,35559,Manager centralmanager-vm5,0.04854368932038835
1554996993100,36559,Manager centralmanager-vm5,0.020618556701030927
1554996994100,37559,Manager centralmanager-vm5,0.03
1554996995100,38559,Manager centralmanager-vm5,0.03
1554996996100,39559,Manager centralmanager-vm5,0.010101010101010102
1554996997099,40558,Manager centralmanager-vm5,0.049019607843137254
1554996998100,41559,Manager centralmanager-vm5,0.03
1554996999100,42559,Manager centralmanager-vm5,0.0297029702970297
1554997000100,43559,Manager centralmanager-vm5,0.03
1554997001100,44559,Manager centralmanager-vm5,0.010101010101010102
1554997002100,45559,Manager centralmanager-vm5,0.049019607843137254
1554997003102,46561,Manager centralmanager-vm5,0.03
1554997004100,47559,Manager centralmanager-vm5,0.03
1554997005100,48559,Manager centralmanager-vm5,0.03
1554997006100,49559,Manager centralmanager-vm5,0.020202020202020204
1554997007100,50559,Manager centralmanager-vm5,0.0297029702970297
1554997008100,51559,Manager centralmanager-vm5,0.03
1554997009100,52559,Manager centralmanager-vm5,0.03
1554997010100,53559,Manager centralmanager-vm5,0.0297029702970297
1554997011100,54559,Manager centralmanager-vm5,0.039603960396039604
1554997012100,55559,Manager centralmanager-vm5,0.03
1554997013100,56559,Manager centralmanager-vm5,0.0297029702970297
1554997014100,57559,Manager centralmanager-vm5,0.020202020202020204
1554997015099,58558,Manager centralmanager-vm5,0.020202020202020204
1554997016099,59558,Manager centralmanager-vm5,0.05940594059405941
1554997017100,60559,Manager centralmanager-vm5,0.039603960396039604
1554997018100,61559,Manager centralmanager-vm5,0.05940594059405941
1554997019110,62569,Manager centralmanager-vm5,0.01
