time (since java epoch),machine name,load (0 to 1)
1555000160528,373,Manager centralmanager-vm9,0.01020408163265306
1555000161529,1374,Manager centralmanager-vm9,0.020202020202020204
1555000162528,2373,Manager centralmanager-vm9,0.020202020202020204
1555000163528,3373,Manager centralmanager-vm9,0.01020408163265306
1555000164528,4373,Manager centralmanager-vm9,0.02040816326530612
1555000165528,5373,Manager centralmanager-vm9,0.04081632653061224
1555000166528,6373,Manager centralmanager-vm9,0.03
1555000167529,7374,Manager centralmanager-vm9,0.4285714285714286
1555000168538,8383,Manager centralmanager-vm9,0.4
1555000169538,9383,Manager centralmanager-vm9,0.020202020202020204
1555000170528,10373,Manager centralmanager-vm9,0.010309278350515464
1555000171529,11374,Manager centralmanager-vm9,0.030303030303030304
1555000172528,12373,Manager centralmanager-vm9,0.020202020202020204
1555000173529,13374,Manager centralmanager-vm9,0.020202020202020204
1555000174528,14373,Manager centralmanager-vm9,0.02040816326530612
1555000175528,15373,Manager centralmanager-vm9,0.030612244897959183
1555000176528,16373,Manager centralmanager-vm9,0.04040404040404041
1555000177528,17373,Manager centralmanager-vm9,0.020202020202020204
1555000178528,18373,Manager centralmanager-vm9,0.02040816326530612
1555000179528,19373,Manager centralmanager-vm9,0.030612244897959183
1555000180538,20383,Manager centralmanager-vm9,0.039603960396039604
1555000181539,21384,Manager centralmanager-vm9,0.010309278350515464
1555000182528,22373,Manager centralmanager-vm9,0.030612244897959183
1555000183528,23373,Manager centralmanager-vm9,0.02
1555000184528,24373,Manager centralmanager-vm9,0.02040816326530612
1555000185528,25373,Manager centralmanager-vm9,0.01020408163265306
1555000186528,26373,Manager centralmanager-vm9,0.030303030303030304
1555000187528,27373,Manager centralmanager-vm9,0.020202020202020204
1555000188528,28373,Manager centralmanager-vm9,0.0
1555000189529,29374,Manager centralmanager-vm9,0.02040816326530612
1555000190528,30373,Manager centralmanager-vm9,0.01020408163265306
1555000191528,31373,Manager centralmanager-vm9,0.030303030303030304
1555000192528,32373,Manager centralmanager-vm9,0.02040816326530612
1555000193528,33373,Manager centralmanager-vm9,0.010101010101010102
1555000194528,34373,Manager centralmanager-vm9,0.010309278350515464
1555000195528,35373,Manager centralmanager-vm9,0.01020408163265306
1555000196529,36374,Manager centralmanager-vm9,0.030612244897959183
1555000197529,37374,Manager centralmanager-vm9,0.02040816326530612
1555000198528,38373,Manager centralmanager-vm9,0.01020408163265306
1555000199528,39373,Manager centralmanager-vm9,0.03
1555000200528,40373,Manager centralmanager-vm9,0.05050505050505051
1555000201538,41383,Manager centralmanager-vm9,0.010101010101010102
1555000202528,42373,Manager centralmanager-vm9,0.020202020202020204
1555000203528,43373,Manager centralmanager-vm9,0.01020408163265306
1555000204528,44373,Manager centralmanager-vm9,0.01020408163265306
1555000205538,45383,Manager centralmanager-vm9,0.039603960396039604
1555000206528,46373,Manager centralmanager-vm9,0.0
1555000207529,47374,Manager centralmanager-vm9,0.020618556701030927
1555000208529,48374,Manager centralmanager-vm9,0.02040816326530612
1555000209528,49373,Manager centralmanager-vm9,0.020202020202020204
1555000210528,50373,Manager centralmanager-vm9,0.020202020202020204
1555000211528,51373,Manager centralmanager-vm9,0.010309278350515464
1555000212528,52373,Manager centralmanager-vm9,0.02040816326530612
1555000213528,53373,Manager centralmanager-vm9,0.01020408163265306
1555000214528,54373,Manager centralmanager-vm9,0.01020408163265306
1555000215528,55373,Manager centralmanager-vm9,0.04081632653061224
1555000216528,56373,Manager centralmanager-vm9,0.02
1555000217528,57373,Manager centralmanager-vm9,0.010309278350515464
1555000218528,58373,Manager centralmanager-vm9,0.0
1555000219529,59374,Manager centralmanager-vm9,0.01020408163265306
