objectCount, responseTime(ms)
2, 178
2, 145
2, 115
2, 115
2, 117
2, 115
2, 120
2, 115
2, 112
2, 112
2, 114
2, 112
2, 113
2, 116
2, 116
2, 114
2, 111
2, 113
2, 117
2, 118
3, 162
3, 119
3, 114
3, 113
3, 113
3, 119
3, 115
3, 113
3, 114
3, 114
3, 112
3, 114
3, 112
3, 113
3, 116
3, 115
3, 117
3, 115
3, 113
3, 116
5, 159
5, 115
5, 115
5, 113
5, 116
5, 118
5, 115
5, 112
5, 113
5, 114
5, 111
5, 114
5, 116
5, 113
5, 117
5, 112
5, 118
5, 110
5, 115
5, 116
7, 169
7, 114
7, 111
7, 113
7, 112
7, 113
7, 111
7, 114
7, 118
7, 111
7, 114
7, 111
7, 116
7, 112
7, 115
7, 117
7, 113
7, 118
7, 111
7, 120
