objectCount, responseTime(ms)
2, 130
2, 127
2, 121
2, 120
2, 121
2, 118
2, 118
2, 118
2, 117
2, 117
2, 120
2, 118
2, 119
2, 119
2, 117
2, 117
2, 114
2, 115
2, 116
2, 115
3, 146
3, 136
3, 135
3, 134
3, 126
3, 126
3, 127
3, 125
3, 127
3, 124
3, 125
3, 125
3, 120
3, 121
3, 122
3, 128
3, 127
3, 119
3, 121
3, 120
5, 177
5, 154
5, 153
5, 150
5, 145
5, 150
5, 139
5, 139
5, 141
5, 138
5, 143
5, 135
5, 133
5, 135
5, 133
5, 135
5, 132
5, 144
5, 135
5, 132
7, 205
7, 175
7, 174
7, 167
7, 167
7, 164
7, 160
7, 159
7, 149
7, 159
7, 149
7, 150
7, 145
7, 151
7, 145
7, 153
7, 149
7, 141
7, 144
7, 152
