objectCount, responseTime(ms)
2, 158
2, 137
2, 113
2, 114
2, 112
2, 113
2, 114
2, 112
2, 113
2, 117
2, 118
2, 113
2, 116
2, 118
2, 127
2, 114
2, 113
2, 122
2, 112
2, 116
3, 160
3, 112
3, 113
3, 112
3, 114
3, 116
3, 113
3, 114
3, 113
3, 113
3, 112
3, 117
3, 111
3, 117
3, 116
3, 111
3, 114
3, 120
3, 113
3, 117
5, 158
5, 114
5, 114
5, 113
5, 111
5, 116
5, 114
5, 114
5, 114
5, 112
5, 111
5, 115
5, 113
5, 113
5, 117
5, 111
5, 114
5, 120
5, 114
5, 117
7, 157
7, 116
7, 114
7, 115
7, 113
7, 115
7, 116
7, 111
7, 113
7, 113
7, 113
7, 113
7, 112
7, 122
7, 113
7, 111
7, 119
7, 112
7, 117
7, 116
