sites,run,icd,exec
2,1,40,30604
2,2,40,35708
2,3,37,28081
2,4,18,24101
2,5,67,29078
2,6,38,24502
2,7,60,31878
2,8,40,31696
2,9,84,38332
2,10,67,36093
2,11,29,28118
2,12,21,22843
2,13,24,24836
2,14,44,34496
2,15,32,24473
2,16,48,30069
2,17,64,39512
2,18,57,41314
2,19,62,34277
2,20,40,29876
3,1,44,20825
3,2,55,21227
3,3,64,22637
3,4,36,20017
3,5,63,22847
3,6,53,26655
3,7,54,20830
3,8,32,18815
3,9,58,24847
3,10,46,28463
3,11,61,26096
3,12,49,25244
3,13,53,26444
3,14,50,23838
3,15,31,18808
3,16,44,22239
3,17,35,20839
3,18,54,21628
3,19,33,19612
3,20,41,21627
4,1,48,21025
4,2,58,21217
4,3,57,20817
4,4,50,19424
4,5,36,20426
4,6,35,15796
4,7,56,19616
4,8,48,21508
4,9,49,24445
4,10,62,20615
4,11,29,18279
4,12,48,21163
4,13,35,18333
4,14,43,15894
4,15,65,22595
4,16,35,19335
4,17,57,19547
4,18,31,16549
4,19,55,19921
4,20,65,21826
5,1,40,17548
5,2,57,17518
5,3,48,22567
5,4,44,15526
5,5,77,18524
5,6,54,18950
5,7,48,17706
5,8,59,15490
5,9,21,14703
5,10,58,16110
5,11,31,14472
5,12,44,16505
5,13,50,18167
5,14,34,13286
5,15,55,23983
5,16,38,14685
5,17,48,17517
5,18,34,15895
5,19,37,13075
5,20,51,15305
6,1,58,17118
6,2,53,17117
6,3,54,14295
6,4,46,13076
6,5,44,19128
6,6,40,17913
6,7,32,14267
6,8,71,17524
6,9,47,12256
6,10,37,16495
6,11,32,16507
6,12,14,14894
6,13,32,13684
6,14,25,15068
6,15,37,15698
6,16,34,16113
6,17,40,15890
6,18,52,18319
6,19,54,19335
6,20,23,18132
7,1,35,15295
7,2,43,15865
7,3,30,18532
7,4,63,18817
7,5,62,15890
7,6,47,13474
7,7,34,14695
7,8,60,16501
7,9,37,16305
7,10,22,14483
7,11,30,12464
7,12,57,15888
7,13,34,12863
7,14,49,18325
7,15,32,17580
7,16,43,15859
7,17,56,20047
7,18,59,14404
7,19,36,13666
7,20,45,16110
8,1,64,17914
8,2,42,17711
8,3,45,17113
8,4,32,14731
8,5,54,17727
8,6,48,13455
8,7,48,17326
8,8,49,14074
8,9,21,14693
8,10,49,14505
8,11,44,13888
8,12,32,18519
8,13,34,14929
8,14,33,13892
8,15,43,16697
8,16,54,14702
8,17,33,12664
8,18,47,12868
8,19,36,16727
8,20,60,18153
9,1,43,14686
9,2,45,13878
9,3,46,16347
9,4,53,16649
9,5,42,15165
9,6,35,13674
9,7,65,12857
9,8,49,16559
9,9,39,16089
9,10,29,14277
9,11,19,15884
9,12,71,14893
9,13,45,15516
9,14,46,12663
9,15,73,14489
9,16,49,16901
9,17,26,15096
9,18,16,16105
9,19,53,15088
9,20,32,12663
10,1,20,14676
10,2,38,14303
10,3,31,16293
10,4,45,14088
10,5,24,12057
10,6,30,11262
10,7,44,14486
10,8,51,12855
10,9,34,13270
10,10,45,15505
10,11,31,16911
10,12,56,15499
10,13,35,13266
10,14,56,16642
10,15,58,16405
10,16,39,13678
10,17,54,15291
10,18,28,12673
10,19,41,14084
10,20,44,13063
11,1,60,13473
11,2,68,13265
11,3,45,13051
11,4,44,12256
11,5,76,18512
11,6,67,17457
11,7,39,12641
11,8,45,16531
11,9,36,17016
11,10,13,12861
11,11,36,17220
11,12,23,15879
11,13,50,13718
11,14,54,16972
11,15,28,16368
11,16,49,15425
11,17,26,18664
11,18,43,16097
11,19,58,14559
11,20,76,15253
12,1,61,12398
12,2,59,14203
12,3,51,15487
12,4,80,19019
12,5,37,15050
12,6,24,13291
12,7,42,18580
12,8,50,14626
12,9,77,13539
12,10,46,19259
12,11,31,13310
12,12,40,14200
12,13,35,13675
12,14,59,13743
12,15,40,15473
12,16,47,16440
12,17,48,18849
12,18,27,12560
12,19,28,15284
12,20,55,16279
13,1,71,15620
13,2,26,14930
13,3,41,15329
13,4,6,13031
13,5,45,11911
13,6,32,12635
13,7,18,14643
13,8,69,21501
13,9,49,15273
13,10,40,15248
13,11,57,14159
13,12,35,14572
13,13,45,19137
13,14,61,17499
13,15,40,16755
13,16,47,15026
13,17,27,14678
13,18,31,16072
13,19,43,15879
13,20,59,17198
14,1,65,15077
14,2,49,13470
14,3,60,14690
14,4,36,13217
14,5,61,16396
14,6,23,15629
14,7,39,13382
14,8,44,13794
14,9,41,13799
14,10,69,15386
14,11,33,14785
14,12,83,12786
14,13,62,11610
14,14,29,17864
14,15,62,11985
14,16,55,19013
14,17,55,14781
14,18,33,13794
14,19,35,14386
14,20,37,12575
15,1,53,11789
15,2,42,13185
15,3,26,13589
15,4,70,11575
15,5,39,14587
15,6,29,15395
15,7,48,15815
15,8,53,14006
15,9,53,13387
15,10,19,12783
15,11,53,17820
15,12,43,14025
15,13,35,13176
15,14,49,16606
15,15,37,14606
15,16,41,13393
15,17,53,13978
15,18,39,16004
15,19,34,13995
15,20,21,13582
16,1,26,12177
16,2,64,13387
16,3,46,14803
16,4,54,15005
16,5,36,18458
16,6,63,13593
16,7,45,13196
16,8,52,13587
16,9,37,13596
16,10,38,15818
16,11,66,15596
16,12,62,14594
16,13,48,17815
16,14,32,14806
16,15,43,11979
16,16,36,18007
16,17,35,12387
16,18,58,16206
16,19,27,11777
16,20,31,10566
