sites,run,icd,exec
2,1,24,33374
2,2,23,38929
2,3,22,30582
2,4,12,26211
2,5,25,31521
2,6,21,26634
2,7,17,34729
2,8,18,34312
2,9,26,41644
2,10,29,39092
2,11,12,30498
2,12,15,24804
2,13,15,26934
2,14,19,37550
2,15,16,26483
2,16,21,32678
2,17,25,43003
2,18,19,45109
2,19,19,37401
2,20,20,32608
3,1,32,22711
3,2,32,23160
3,3,24,24686
3,4,27,21840
3,5,33,24901
3,6,30,29051
3,7,33,22756
3,8,24,20534
3,9,23,27113
3,10,19,31054
3,11,32,28410
3,12,29,27483
3,13,25,28798
3,14,23,25947
3,15,20,20470
3,16,26,24200
3,17,23,22670
3,18,24,23550
3,19,16,21363
3,20,26,23539
4,1,35,22909
4,2,38,23106
4,3,44,22671
4,4,26,21140
4,5,26,22249
4,6,23,17283
4,7,30,21408
4,8,33,22278
4,9,42,24474
4,10,36,22062
4,11,29,19198
4,12,27,22941
4,13,29,19893
4,14,29,17259
4,15,36,24502
4,16,32,20989
4,17,32,21154
4,18,30,17633
4,19,41,19823
4,20,36,23361
5,1,30,18968
5,2,31,18935
5,3,50,24431
5,4,35,16750
5,5,59,20033
5,6,33,20462
5,7,38,19148
5,8,46,16811
5,9,19,15887
5,10,39,17401
5,11,18,15644
5,12,31,17845
5,13,31,19390
5,14,35,13703
5,15,34,25982
5,16,34,15891
5,17,33,18966
5,18,26,17202
5,19,34,14142
5,20,41,16557
6,1,36,18522
6,2,46,18519
6,3,41,15442
6,4,38,14164
6,5,37,20690
6,6,28,19372
6,7,25,15419
6,8,62,18938
6,9,28,13277
6,10,35,17863
6,11,28,17879
6,12,15,16147
6,13,45,14857
6,14,26,16344
6,15,33,16982
6,16,33,17440
6,17,35,17231
6,18,46,19811
6,19,48,20890
6,20,26,18522
7,1,40,15461
7,2,45,16462
7,3,31,19993
7,4,47,19619
7,5,30,17197
7,6,55,14528
7,7,35,15791
7,8,43,17848
7,9,28,17630
7,10,24,15670
7,11,17,13503
7,12,52,17244
7,13,30,13921
7,14,39,19820
7,15,29,18043
7,16,49,15885
7,17,43,20013
7,18,39,15203
7,19,34,14781
7,20,37,17402
8,1,51,18969
8,2,45,19089
8,3,34,18503
8,4,31,15843
8,5,47,19079
8,6,50,14558
8,7,40,18702
8,8,45,15212
8,9,27,15879
8,10,24,15682
8,11,45,15018
8,12,29,20001
8,13,30,16088
8,14,29,14931
8,15,47,18033
8,16,50,15818
8,17,35,13668
8,18,58,13894
8,19,42,16721
8,20,46,18651
9,1,39,15818
9,2,36,14969
9,3,49,17126
9,4,36,16470
9,5,36,15161
9,6,38,14740
9,7,57,13897
9,8,42,17775
9,9,40,17361
9,10,23,15379
9,11,27,17110
9,12,35,15996
9,13,46,16633
9,14,46,13608
9,15,62,15580
9,16,35,18129
9,17,19,16210
9,18,16,17280
9,19,50,16251
9,20,24,13642
10,1,16,15781
10,2,29,15331
10,3,33,17498
10,4,43,15099
10,5,29,12927
10,6,43,12027
10,7,48,15532
10,8,53,13799
10,9,44,14243
10,10,44,16610
10,11,35,18162
10,12,38,16619
10,13,42,14260
10,14,43,17067
10,15,60,17251
10,16,32,14678
10,17,48,16410
10,18,22,13639
10,19,23,15127
10,20,40,14011
11,1,39,14459
11,2,48,14278
11,3,65,14047
11,4,45,13162
11,5,48,18370
11,6,64,17298
11,7,31,12510
11,8,40,16411
11,9,19,16848
11,10,18,12711
11,11,30,17096
11,12,28,15866
11,13,59,13657
11,14,40,16889
11,15,36,16218
11,16,44,15310
11,17,21,18637
11,18,42,15995
11,19,56,14502
11,20,84,15166
12,1,56,12327
12,2,58,14087
12,3,65,15337
12,4,79,18859
12,5,38,14927
12,6,23,13189
12,7,48,18433
12,8,50,14537
12,9,56,13421
12,10,45,19050
12,11,29,13168
12,12,44,14121
12,13,24,13670
12,14,64,13599
12,15,41,15348
12,16,43,16477
12,17,57,18860
12,18,30,12539
12,19,28,15149
12,20,55,16256
13,1,74,15579
13,2,27,14912
13,3,51,15427
13,4,8,12972
13,5,52,11880
13,6,27,12542
13,7,16,14531
13,8,61,21471
13,9,38,15148
13,10,37,15127
13,11,51,14089
13,12,42,14560
13,13,43,19077
13,14,75,17359
13,15,37,16662
13,16,49,14960
13,17,21,14728
13,18,35,16012
13,19,39,15829
13,20,54,17119
14,1,63,15551
14,2,47,14505
14,3,54,15835
14,4,31,14294
14,5,56,17757
14,6,18,16871
14,7,37,14510
14,8,40,14919
14,9,34,14969
14,10,77,16671
14,11,29,16029
14,12,66,13851
14,13,66,12542
14,14,27,19261
14,15,48,12900
14,16,46,20540
14,17,56,15992
14,18,41,14940
14,19,35,15560
14,20,39,13519
15,1,66,12709
15,2,40,14208
15,3,25,14729
15,4,78,12516
15,5,38,15791
15,6,35,16669
15,7,58,17117
15,8,55,15129
15,9,45,14493
15,10,20,13828
15,11,61,19289
15,12,57,15162
15,13,40,14250
15,14,50,17971
15,15,42,15749
15,16,57,14452
15,17,58,15110
15,18,29,17268
15,19,39,15118
15,20,22,14690
16,1,21,13161
16,2,68,14461
16,3,47,15975
16,4,54,16212
16,5,40,19858
16,6,61,14669
16,7,46,14236
16,8,48,14711
16,9,39,14701
16,10,42,17083
16,11,72,16848
16,12,68,15812
16,13,49,19318
16,14,27,15982
16,15,43,12930
16,16,33,19432
16,17,32,13360
16,18,41,17449
16,19,25,12701
16,20,22,11406
17,1,27,14896
17,2,33,15530
17,3,61,14228
17,4,34,19468
17,5,39,12488
17,6,58,15092
17,7,51,16429
17,8,63,18342
17,9,35,14655
17,10,36,19856
17,11,48,14451
17,12,41,17080
17,13,26,14695
17,14,18,14441
17,15,62,16179
17,16,25,13610
17,17,29,15363
17,18,23,14901
17,19,56,16419
17,20,32,14231
18,1,23,12710
18,2,42,12531
18,3,30,15761
18,4,18,16377
18,5,56,13821
18,6,18,13578
18,7,72,17941
18,8,65,14920
18,9,33,17530
18,10,40,14490
18,11,63,14730
18,12,47,11831
18,13,55,16213
18,14,26,14061
18,15,40,13166
18,16,49,17116
18,17,76,16629
18,18,27,14485
18,19,61,20528
18,20,38,15960
19,1,47,14458
19,2,36,14080
19,3,46,20790
19,4,41,14911
19,5,46,15530
19,6,38,15771
19,7,64,16417
19,8,43,15129
19,9,44,14947
19,10,24,13620
19,11,30,14237
19,12,69,31642
19,13,39,14486
19,14,42,19710
19,15,57,15969
19,16,13,14046
19,17,38,14503
19,18,26,13701
19,19,25,12386
19,20,43,14329
20,1,33,15458
20,2,23,11691
20,3,25,13680
20,4,41,17637
20,5,29,11939
20,6,28,16777
20,7,51,13931
20,8,46,14361
20,9,28,13041
20,10,52,19608
20,11,43,16102
20,12,41,15251
20,13,47,18316
20,14,11,18065
20,15,41,20030
20,16,24,12630
20,17,38,16769
20,18,40,19602
20,19,31,12613
20,20,49,14787
