num_tms, datasize, parallelisms, runtime_noreplan,runtime_replan,num_replans,loss
8,4000,(7 2 1),21421,28837,2,28
8,4000,(7 2 1),21437,28862,2,12
8,4000,(7 2 1),21413,28855,2,24
8,4000,(7 2 1),21408,28767,2,32
8,4000,(7 2 1),21497,28884,2,12
8,4000,(7 2 1),21496,28979,2,8
8,4000,(7 2 1),21462,28895,2,20
8,4000,(7 2 1),21451,28925,2,28
8,4000,(7 2 1),21488,28938,2,16
8,4000,(7 2 1),21483,28911,2,16
8,4000,(12 7 1),36016,33433,4,228
8,4000,(12 7 1),36045,33349,4,256
8,4000,(12 7 1),36005,33310,4,308
8,4000,(12 7 1),36023,33334,4,224
8,4000,(12 7 1),36014,33457,4,320
8,4000,(12 7 1),36003,33487,4,368
8,4000,(12 7 1),35961,33374,4,288
8,4000,(12 7 1),36002,33425,4,332
8,4000,(12 7 1),36017,33465,4,236
8,4000,(12 7 1),36020,33437,4,276
8,4000,(17 12 1),34710,31962,3,1280
8,4000,(17 12 1),34739,31960,3,1256
8,4000,(17 12 1),34734,31983,3,1240
8,4000,(17 12 1),34713,31933,3,1368
8,4000,(17 12 1),34719,31927,3,1396
8,4000,(17 12 1),34745,32015,3,1344
8,4000,(17 12 1),34712,31926,3,1168
8,4000,(17 12 1),34724,31929,3,1352
8,4000,(17 12 1),34730,31991,3,1348
8,4000,(17 12 1),34740,31957,3,1268
8,8000,(7 2 1),50541,58623,5,56
8,8000,(7 2 1),50532,58640,5,64
8,8000,(7 2 1),50512,58611,5,52
8,8000,(7 2 1),50533,58714,5,60
8,8000,(7 2 1),50517,58606,5,60
8,8000,(7 2 1),50522,58625,5,84
8,8000,(7 2 1),50562,58631,5,60
8,8000,(7 2 1),50516,58651,5,48
8,8000,(7 2 1),50497,58245,5,68
8,8000,(7 2 1),50527,58507,5,80
8,8000,(12 7 1),60991,64354,7,564
8,8000,(12 7 1),61003,64327,7,392
8,8000,(12 7 1),60998,64438,7,412
8,8000,(12 7 1),60914,64366,7,384
8,8000,(12 7 1),61041,64283,7,424
8,8000,(12 7 1),60976,64292,7,456
8,8000,(12 7 1),60979,64387,7,352
8,8000,(12 7 1),60972,64277,7,360
8,8000,(12 7 1),60989,64228,7,448
8,8000,(12 7 1),60976,64298,7,392
8,8000,(17 12 1),61199,61878,5,2172
8,8000,(17 12 1),61209,61698,5,2160
8,8000,(17 12 1),61204,61773,5,2124
8,8000,(17 12 1),61195,61716,5,2260
8,8000,(17 12 1),61235,61747,5,2088
8,8000,(17 12 1),61196,61847,5,2268
8,8000,(17 12 1),61245,61809,5,2132
8,8000,(17 12 1),61193,61739,5,2040
8,8000,(17 12 1),61229,61823,5,2248
8,8000,(17 12 1),61246,61706,5,2248
8,16000,(7 2 1),91196,108213,10,104
8,16000,(7 2 1),91195,108279,10,144
8,16000,(7 2 1),91185,108298,10,76
8,16000,(7 2 1),91240,108052,10,132
8,16000,(7 2 1),91206,108165,10,124
8,16000,(7 2 1),91244,108309,10,112
8,16000,(7 2 1),91207,108298,10,92
8,16000,(7 2 1),91196,108152,10,92
8,16000,(7 2 1),91211,108225,10,112
8,16000,(7 2 1),91150,108327,10,124
8,16000,(12 7 1),116311,130785,13,1292
8,16000,(12 7 1),116278,130432,13,1200
8,16000,(12 7 1),116362,130443,13,1232
8,16000,(12 7 1),116429,130507,13,1172
8,16000,(12 7 1),116253,130546,13,928
8,16000,(12 7 1),116335,130212,13,1236
8,16000,(12 7 1),116371,130421,13,1216
8,16000,(12 7 1),116352,130505,13,1308
8,16000,(12 7 1),116319,130485,13,1148
8,16000,(12 7 1),116312,130692,13,1044
8,16000,(17 12 1),122396,126044,12,4680
8,16000,(17 12 1),122401,126045,12,4616
8,16000,(17 12 1),122352,125915,12,4788
8,16000,(17 12 1),122380,126030,12,4860
8,16000,(17 12 1),122390,126068,12,4800
8,16000,(17 12 1),122428,125981,12,4652
8,16000,(17 12 1),122369,126026,12,4660
8,16000,(17 12 1),122342,125896,12,4828
8,16000,(17 12 1),122354,125952,12,4612
8,16000,(17 12 1),122453,125920,12,4540
